feature,RF Small1 (10k),RF Small2 (100k),RF Small3 (200k),RF Medium (500k),RF Large (1M)
rolling_4_week,1,1,1,1,1
rolling_12_week,0.7020280215728246,0.8251260136648626,0.7197238127352162,0.9227033415071352,0.6988795101338351
lag_4_weeks,0.7693303001974644,0.706252676606529,0.6721669924305789,0.7823946225104585,0.6954426382680491
store_size,0.03190482595491996,0.03526326006922286,0.028656076026645688,0.025812107897207504,0.028977012780685412
store_type,0.015868212127917395,0.015114556505330796,0.012995107071340923,0.013830503816689757,0.010186770106061888
week,0.005408617362548306,0.004401006082333705,0.004086649844026834,0.00533761458118818,0.00459100486901557
month,0.00315625722202748,0.0018913497961735443,0.0016562801925340239,0.0022226804841284286,0.0023288875900076516
feature_is_holiday,0.0017074134193986901,9.06560644635569e-4,7.819957407466184e-4,0.0010979001569984062,0.0010394590454809254
temperature,0.005121987183220613,0.001990843797167597,0.0016453753548338775,0.0014163314626913753,0.0010369457314946934
fuel_price,0.004681223934220406,0.0019824237578481914,0.0014387313146337027,0.0011147160524840277,6.927419942778355e-4
cpi,0.004473369640735057,0.002039407414689039,0.001366892610503921,0.0010344816995543915,6.698127398286389e-4
unemployment,0.00786787157333532,0.0024828797018113125,0.0015577958721193666,8.841785559295453e-4,6.26090355837618e-4
year,9.194520044921203e-4,1.5361656940547072e-4,2.062225094688896e-4,1.6102793593496443e-4,1.433740534327364e-4
